Date,Price
10-05-2019,47.903999
13-05-2019,45.402
14-05-2019,46.462002
15-05-2019,46.389999
16-05-2019,45.666
17-05-2019,42.206001
20-05-2019,41.071999
21-05-2019,41.015999
22-05-2019,38.546001
23-05-2019,39.098
24-05-2019,38.125999
28-05-2019,37.740002
29-05-2019,37.972
30-05-2019,37.644001
31-05-2019,37.032001
03-06-2019,35.793999
04-06-2019,38.720001
05-06-2019,39.318001
06-06-2019,41.189999
07-06-2019,40.900002
10-06-2019,42.576
11-06-2019,43.419998
12-06-2019,41.852001
13-06-2019,42.782001
14-06-2019,42.984001
17-06-2019,45.006001
18-06-2019,44.948002
19-06-2019,45.285999
20-06-2019,43.924
21-06-2019,44.372002
24-06-2019,44.728001
25-06-2019,43.952
26-06-2019,43.854
27-06-2019,44.568001
28-06-2019,44.692001
01-07-2019,45.433998
02-07-2019,44.91
03-07-2019,46.98
05-07-2019,46.619999
08-07-2019,46.068001
09-07-2019,46.012001
10-07-2019,47.784
11-07-2019,47.720001
12-07-2019,49.015999
15-07-2019,50.700001
16-07-2019,50.476002
17-07-2019,50.972
18-07-2019,50.708
19-07-2019,51.636002
22-07-2019,51.136002
23-07-2019,52.034
24-07-2019,52.976002
25-07-2019,45.764
26-07-2019,45.608002
29-07-2019,47.153999
30-07-2019,48.452
31-07-2019,48.321999
01-08-2019,46.77
02-08-2019,46.868
05-08-2019,45.664001
06-08-2019,46.150002
07-08-2019,46.683998
08-08-2019,47.66
09-08-2019,47.001999
12-08-2019,45.801998
13-08-2019,47
14-08-2019,43.924
15-08-2019,43.127998
16-08-2019,43.987999
19-08-2019,45.366001
20-08-2019,45.172001
21-08-2019,44.166
22-08-2019,44.43
23-08-2019,42.279999
26-08-2019,43
27-08-2019,42.816002
28-08-2019,43.118
29-08-2019,44.341999
30-08-2019,45.122002
03-09-2019,45.001999
04-09-2019,44.136002
05-09-2019,45.916
06-09-2019,45.490002
09-09-2019,46.358002
10-09-2019,47.108002
11-09-2019,49.419998
12-09-2019,49.174
13-09-2019,49.040001
16-09-2019,48.562
17-09-2019,48.958
18-09-2019,48.698002
19-09-2019,49.32
20-09-2019,48.124001
23-09-2019,48.245998
24-09-2019,44.641998
25-09-2019,45.740002
26-09-2019,48.512001
27-09-2019,48.425999
30-09-2019,48.174
01-10-2019,48.938
02-10-2019,48.625999
03-10-2019,46.605999
04-10-2019,46.285999
07-10-2019,47.543999
08-10-2019,48.009998
09-10-2019,48.905998
10-10-2019,48.948002
11-10-2019,49.577999
14-10-2019,51.391998
15-10-2019,51.577999
16-10-2019,51.950001
17-10-2019,52.394001
18-10-2019,51.389999
21-10-2019,50.700001
22-10-2019,51.116001
23-10-2019,50.936001
24-10-2019,59.936001
25-10-2019,65.625999
28-10-2019,65.542
29-10-2019,63.243999
30-10-2019,63.001999
31-10-2019,62.984001
01-11-2019,62.661999
04-11-2019,63.493999
05-11-2019,63.444
06-11-2019,65.316002
07-11-2019,67.108002
08-11-2019,67.428001
11-11-2019,69.017998
12-11-2019,69.986
13-11-2019,69.222
14-11-2019,69.870003
15-11-2019,70.433998
18-11-2019,69.998001
19-11-2019,71.903999
20-11-2019,70.444
21-11-2019,70.966003
22-11-2019,66.608002
25-11-2019,67.267998
26-11-2019,65.783997
27-11-2019,66.258003
29-11-2019,65.987999
02-12-2019,66.973999
03-12-2019,67.239998
04-12-2019,66.606003
05-12-2019,66.073997
06-12-2019,67.178001
09-12-2019,67.905998
10-12-2019,69.767998
11-12-2019,70.540001
12-12-2019,71.935997
13-12-2019,71.678001
16-12-2019,76.300003
17-12-2019,75.797997
18-12-2019,78.629997
19-12-2019,80.807999
20-12-2019,81.117996
23-12-2019,83.844002
24-12-2019,85.050003
26-12-2019,86.188004
27-12-2019,86.075996
30-12-2019,82.940002
31-12-2019,83.666
02-01-2020,86.052002
03-01-2020,88.601997
06-01-2020,90.307999
07-01-2020,93.811996
08-01-2020,98.428001
09-01-2020,96.267998
10-01-2020,95.629997
13-01-2020,104.972
14-01-2020,107.584
15-01-2020,103.699997
16-01-2020,102.697998
17-01-2020,102.099998
21-01-2020,109.440002
22-01-2020,113.912003
23-01-2020,114.440002
24-01-2020,112.963997
27-01-2020,111.603996
28-01-2020,113.379997
29-01-2020,116.197998
30-01-2020,128.162003
31-01-2020,130.113998
03-02-2020,156
04-02-2020,177.412003
05-02-2020,146.940002
06-02-2020,149.792007
07-02-2020,149.613998
10-02-2020,154.255997
11-02-2020,154.876007
12-02-2020,153.457993
13-02-2020,160.800003
14-02-2020,160.005997
18-02-2020,171.679993
19-02-2020,183.483994
20-02-2020,179.882004
21-02-2020,180.199997
24-02-2020,166.757996
25-02-2020,159.981995
26-02-2020,155.759995
27-02-2020,135.800003
28-02-2020,133.598007
02-03-2020,148.723999
03-03-2020,149.102005
04-03-2020,149.899994
05-03-2020,144.908005
06-03-2020,140.695999
09-03-2020,121.599998
10-03-2020,129.065994
11-03-2020,126.846001
12-03-2020,112.110001
13-03-2020,109.323997
16-03-2020,89.014
17-03-2020,86.040001
18-03-2020,72.244003
19-03-2020,85.528
20-03-2020,85.505997
23-03-2020,86.858002
24-03-2020,101
25-03-2020,107.849998
26-03-2020,105.632004
